Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      1152082     44556705          32 3.09658E+06 1392397046 .TAU application
 80.4         1229     35843158          32      127663 1120098694 Driver_Main
 77.4       126687     34482735         288 9.12834E+06  119731719 Mesh::Initialize
  0.0         6465         6465       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 37] [device=0]
  0.0         6465         6465       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [advected.fluxX2] [device=0]
  0.0         6464         6464       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 52] [device=0]
  0.0         6464         6464       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 29] [device=0]
  0.0         6464         6464       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 31] [device=0]
  0.0         6463         6463       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 51] [device=0]
  0.0         6462         6462       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 54] [device=0]
  0.0         6462         6462       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 52] [device=0]
  0.0         6460         6460       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 30] [device=0]
  0.0         6459         6459       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [advected.coarse] [device=0]
  0.0         6456         6456       21141           0        305 Kokkos::parallel_for Kokkos::View::initialization [send buf 29] [device=0]
  0.0         6449         6449       21141           0        305 Kokkos::parallel_for Kokkos::View::initialization [one_minus_sqrt_one_minus_advected_sq_37] [device=0]
  0.0         6445         6445       21141           0        305 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:183] [device=0]
  0.0         6444         6444       21141           0        305 Kokkos::parallel_for Kokkos::View::initialization [one_minus_advected_sq] [device=0]
  0.0         6440         6440       21141           0        305 Kokkos::parallel_for Kokkos::View::initialization [one_minus_sqrt_one_minus_advected_sq_12] [device=0]
  0.0         6438         6438       21141           0        305 Kokkos::parallel_for Kokkos::View::initialization [one_minus_advected] [device=0]
  0.0         6432         6432      716148           0          9 Task_ApplyBoundaryConditionsOnCoarseOrFine
  0.0         6431         6431       21141           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:181] [device=0]
  0.0         6430         6430       21141           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:179] [device=0]
  0.0         6429         6429       21141           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:182] [device=0]
  0.0         6429         6429       21141           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/bvals/bvals_base.cpp:117] [device=0]
  0.0         6428         6428       21141           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/bvals/bvals_base.cpp:116] [device=0]
  0.0         6424         6424       21141           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:184] [device=0]
  0.0         6417         6417       21141           0        304 Kokkos::parallel_for Kokkos::View::initialization [ParArrayNDGeneric:/usr/workspace/ellinger/repos/parthenon/src/reconstruct/reconstruction.cpp:178] [device=0]
  0.0         6399         6399       38044           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::cv] [device=0]
  0.0         6398         6398       38044           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::f3] [device=0]
  0.0         6384         6384       38044           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::f1] [device=0]
  0.0         6384         6384 2.50002E+06           0          3 MPI_Test() [THROTTLED]
  0.0         6382         6382       38044           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::f2] [device=0]
  0.0         6382         6382       38044           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::vector_component] [device=0]
  0.0         6379         6379       38044           0        168 Kokkos::parallel_for Kokkos::View::initialization [MakeFluxPack::sparse_assoc] [device=0]
  0.0         6304         6304      160343           0         39 SearchAndSetNeighbors
  0.0         5885         5885       18184           0        324 Kokkos::parallel_for SendFluxCorrection3D_x3 [device=33554432]
  0.0         4704         4704 3.20003E+06           0          1 MPI_Request_free() [THROTTLED]
  0.0         3799         3799 2.34624E+06           0          2 MPI_Send_init() 
  0.0         3013         3013      443030           0          7 MPI_Test() 
  0.0         2701         2701      443030           0          6 MPI_Iprobe() 
  0.0         2603         2603        8160           0        319 Kokkos::parallel_for SendFluxCorrection3D_x2 [device=33554432]
  0.0         2495         2495        8160           0        306 Kokkos::parallel_for ReceiveFluxCorrection_x2 [device=33554432]
  0.0         2459         2459        8160           0        301 Kokkos::parallel_for SendFluxCorrection3D_x1 [device=33554432]
  0.0         1485         2358         256        6000       9210 Step 5: Alloc buffer and start recv
  0.0         2198         2198 2.34624E+06           0          1 MPI_Recv_init() 
  0.0         2000         2000       38044           0         53 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::f2] [device=0]
  0.0         1968         1968       38044           0         52 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::f1] [device=0]
  0.0         1862         1862       38044           0         49 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::f3] [device=0]
  0.0         1784         1784       38044           0         47 Kokkos::parallel_for Kokkos::View::destruction [MakeFluxPack::cv] [device=0]
  0.0          961          961          64           0      15013 pthread_join
  0.0          894          894          32           0      27945 MPI_File_open()
  0.0          715          715          64           0      11175 MPI_Bcast() 
  0.0          627          627         640           0        980 Kokkos::parallel_for WeightedSumData [device=33554432]
  0.0          386          386         320           0       1206 Kokkos::parallel_for FluxDivergenceMesh [device=33554432]
  0.0          253          253        1757           0        144 Kokkos::parallel_for FillSameRankCoarseToFineAMR [device=33554432]
  0.0          222          222         672           0        330 Kokkos::parallel_for Kokkos::View::initialization [MeshData::PackVariables::coords] [device=0]
  0.0          218          218         672           0        325 Kokkos::parallel_for Kokkos::View::initialization [MeshData::PackVariables::packs] [device=0]
  0.0          158          158         672           0        235 Kokkos::parallel_for Kokkos::View::destruction [MeshData::PackVariables::coords] [device=0]
  0.0          147          147         672           0        219 Kokkos::parallel_for Kokkos::View::destruction [MeshData::PackVariables::packs] [device=0]
  0.0          123          123         256           0        482 Step1: Construct new list
  0.0          112          112         672           0        167 Kokkos::parallel_for Kokkos::View::destruction [MeshData::PackVariables::packs_mirror] [device=0]
